month,avg_temp,year,month_num
2017 Oct,14.038709677419355,2017,10
2017 Nov,4.327586206896552,2017,11
2017 Dec,-2.9741935483870967,2017,12
2018 Jan,-4.15483870967742,2018,1
2018 Feb,1.1214285714285714,2018,2
2018 Mar,1.5125,2018,3
2018 Apr,6.126666666666667,2018,4
2018 May,17.587096774193547,2018,5
2018 Jun,19.6,2018,6
2018 Jul,23.280645161290323,2018,7
2018 Aug,22.83225806451613,2018,8
2018 Sep,18.176666666666666,2018,9
2018 Oct,10.6,2018,10
2018 Nov,2.6655172413793102,2018,11
2018 Dec,0.6322580645161291,2018,12
2019 Jan,-3.8161290322580643,2019,1
2019 Feb,-1.5607142857142857,2019,2
2019 Mar,1.934375,2019,3
2019 Apr,10.26,2019,4
2019 May,14.680645161290322,2019,5
2019 Jun,19.456666666666667,2019,6
2019 Jul,23.56451612903226,2019,7
2019 Aug,20.706451612903226,2019,8
2019 Sep,16.993333333333332,2019,9
2019 Oct,11.387096774193548,2019,10
2019 Nov,1.793103448275862,2019,11
2019 Dec,-1.064516129032258,2019,12
2020 Jan,0.0032258064516128594,2020,1
2020 Feb,0.45172413793103455,2020,2
2020 Mar,5.453125,2020,3
2020 Apr,7.49,2020,4
2020 May,14.287096774193548,2020,5
2020 Jun,20.846666666666668,2020,6
2020 Jul,24.148387096774194,2020,7
2020 Aug,21.54193548387097,2020,8
2020 Sep,16.676666666666666,2020,9
2020 Oct,10.880645161290323,2020,10
2020 Nov,7.272413793103448,2020,11
2020 Dec,0.49677419354838714,2020,12
2021 Jan,-2.62941935483871,2021,1
2021 Feb,-2.7931785714285713,2021,2
2021 Mar,4.26559375,2021,3
2021 Apr,9.756433333333334,2021,4
2021 May,14.269483870967742,2021,5
2021 Jun,21.198999999999998,2021,6
2021 Jul,20.960322580645162,2021,7
2021 Aug,22.470967741935485,2021,8
2021 Sep,17.708,2021,9
2021 Oct,13.349419354838709,2021,10
2021 Nov,3.6046206896551722,2021,11
2021 Dec,2.560225806451613,2021,12
2022 Jan,-5.415451612903226,2022,1
2022 Feb,-1.17125,2022,2
2022 Mar,3.97615625,2022,3
2022 Apr,8.912866666666666,2022,4
2022 May,16.59,2022,5
2022 Jun,19.199,2022,6
2022 Jul,23.250645161290322,2022,7
2022 Aug,23.54774193548387,2022,8
2022 Sep,16.875,2022,9
2022 Oct,10.476935483870967,2022,10
2022 Nov,6.549586206896552,2022,11
2022 Dec,0.29777419354838713,2022,12
2023 Jan,1.765516129032258,2023,1
2023 Feb,0.5740357142857143,2023,2
2023 Mar,3.53646875,2023,3
2023 Apr,11.153266666666667,2023,4
2023 May,14.369129032258066,2023,5
2023 Jun,18.836666666666666,2023,6
2023 Jul,23.043225806451613,2023,7
2023 Aug,20.39,2023,8
2023 Sep,17.277666666666665,2023,9
2023 Oct,12.388806451612902,2023,10
2023 Nov,3.7820689655172415,2023,11
2023 Dec,2.9999032258064515,2023,12
2024 Jan,-1.2774193548387096,2024,1
2024 Feb,0.393103448275862,2024,2
2024 Mar,5.31875,2024,3
2024 Apr,9.51,2024,4
2024 May,15.935483870967742,2024,5
2024 Jun,20.623333333333335,2024,6
2024 Jul,23.329032258064515,2024,7
2024 Aug,20.741935483870968,2024,8
2024 Sep,16.73,2024,9
2024 Oct,11.57741935483871,2024,10
2024 Nov,6.158620689655172,2024,11
